Acls,Section,Permission
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1a779607-d2bd-4781-854e-453220b7b630,Inventory,List of SQS Queues
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1be9897f-1c2c-4a8b-8f8a-78d5a37d0439,Inventory,Storage Gateway Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]76ac348d-a982-4be3-90ba-6507e60fcee3,Inventory,List of Storage Gateways
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]98c0c8b9-b8a9-45cc-9452-b713e13178b6,Inventory,AWS Support Case Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e747bf10-4bef-417a-9ea9-1aef8258c2f6,Inventory,List of AWS Support Cases
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7ff3456a-b14e-4762-adb6-45da27d8f480,Inventory,Simple Notification Service (SNS) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]42d4b3d9-1184-490a-850d-b7e7e1d10a72,Inventory,List of SNS Topics
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]08fb2209-9c9a-49bd-8bb9-7c4020262579,Inventory,Simple Workflow Service (SWF) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]24577095-71e5-4cb4-a3f6-282a014ad610,Inventory,List of SWF Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b985b5ef-9319-4091-8afd-1a85bd31de3f,Inventory,WorkSpaces Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]64bd473b-9ca5-4d38-9683-9ae2867a2bd5,Inventory,List of WorkSpaces
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]89636c66-42d3-4599-9b3a-0229cfb965e3,Inventory,List of WorkSpaces Directories
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1295bb98-e70a-437b-969e-b60d492e162b,Inventory,CloudHSM Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]6b3267a9-596d-4940-ac07-a9d25a3e6d67,Inventory,List of CloudHSM
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a5a04ea2-6617-4db9-86b3-806ae46bcded,Inventory,List of HA Partition Groups
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]3a83d2e5-c117-48d9-b4fa-f201d8067731,Inventory,List of Luna Clients
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]58091b2f-4531-4279-bfd3-a8f3df939333,Inventory,CloudWatch Alarm Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]25fa9bc6-d9e2-40f6-a544-aa6c7b435b23,Inventory,List of CloudWatch Alarms
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]89720e0c-3381-4d1e-aca5-bbf7d1c538ec,Inventory,Direct Connect Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]ae112960-b89a-42d8-a80a-52de84db9e03,Inventory,List of Connections
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e26ca11b-d9a4-4130-a4a6-f77a64af9b96,Inventory,List of Virtual Interfaces
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]ff96249f-4773-4b5d-956b-af35e448d2f7,Inventory,Elastic Container Service (ECS) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]23680d15-5e6e-4af7-b624-5142f3734391,Inventory,List of Elastic Container Service
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a7d35bfe-e0f1-427f-9098-e43f2c71fa2e,Inventory,List of Task Definitions
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1d325e94-41bb-4705-852c-01d3acb3e61a,Inventory,Custom Report Builder
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]ac14ab47-1212-4aa9-a9aa-60e8b2e3fe68,Inventory,Custom Report
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]55d5a2dd-8099-439f-922d-51fe3bd1dda9,Inventory,Kinesis Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]6b082b1c-d8de-4fb4-b026-737a85936a4d,Inventory,List of Elasticsearch Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b2cca123-e739-4078-91b9-fd0f419efed4,Inventory,IoT Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7a5ae0a5-dc64-468b-9b33-c735bb62e9bb,Inventory,List of IoT Things
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]70f2476f-b829-47ab-bae5-fdcc3f9863de,Inventory,List of Elastic File Systems
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a3e5d94a-d0f2-4e36-8fc1-3243716c8278,Inventory,Elastic File Systems Summary
