Acls,Section,Permission
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d6125b06-9d77-4c82-b535-a356d2f79822,Inventory,CloudWatch Alarm Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d6c6ff55-fc9d-4fb9-8fd6-41a5fea2e8de,Inventory,List of CloudWatch Alarms
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]51ba4037-a6c1-477f-8c9e-f12c7db2867c,Inventory,Direct Connect Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]07ddb121-9e65-48f4-9a81-309766c591b4,Inventory,List of Connections
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]8aa9183c-4340-4070-8b50-18ee5d6d4f35,Inventory,List of Virtual Interfaces
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]fc4af808-54a2-4203-814d-1513c5c0c249,Inventory,Elastic Container Service (ECS) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]914327e3-37e6-4bf5-a1ba-caf7e882d56a,Inventory,List of Elastic Container Service
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]5f378752-123c-4bec-bd8d-ffd858285033,Inventory,List of Task Definitions
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7e158673-a6e9-473b-9f62-b252dfd6a994,Inventory,Kinesis Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e5c59d38-f3a1-4aac-aa48-a9823c1413ed,Inventory,List of Elasticsearch Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]16b586a1-4459-46e1-b348-8c24dd5cfb7f,Inventory,IoT Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]8233e03f-6bfe-4473-8185-3860198d8e01,Inventory,List of IoT Things
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]10d94ba7-8ddd-47ba-a7be-d995922c3333,Inventory,List of Instances
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e57ceaa7-23ca-435e-8e14-c8e69f05bb13,Inventory,EC2 System Manger Instance Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4b9f8948-7703-4fbd-8833-6cafbd3a35c1,Inventory,List of Elastic File Systems
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]ca55d536-ed0c-46e7-a08c-6ee5569eddfd,Inventory,Elastic File Systems Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]09d956c0-2b6f-4406-ac18-93bb56e653b1,Inventory,Cognito User Pool Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]bc1ea665-06b3-4d3d-b048-3fe027a3ca8f,Inventory,List of User Pools
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]7567880f-c614-4811-b126-5d9cb9b2a824,Security,CloudTrail Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]d5ceb25e-88a4-4c6e-b191-5319239a04fa,Security,List of Trails
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]752ae315-a051-49c0-af94-a0a55c5d412d,Security,CloudTrail Common Searches
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]af26b0d3-ff94-4a8e-8842-e0bc877f5f31,Security,CloudTrail Events
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]d856974a-aab5-42dc-860f-f037ad256a7a,Security,CloudTrail Setup
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]f69a427e-5bb7-43bf-82e1-0a73d7487a81,Security,AWS Config Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]cb8b56e7-ca06-4d7d-b7a6-aed8084aa806,Security,List of Configuration Recorders
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]35c5cc1d-9e52-44af-be82-62b6d85eb603,Security,List of Delivery Channels
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]8d4cbf6d-2f86-4f15-9832-79de0ef1c3dd,Security,AWS Config Common Searches
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]d7feb85d-6977-47d8-b640-e0559cf7318d,Security,AWS Config Resource Changes
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]543cab53-54fd-4087-891a-5d2ab90ecd26,Security,AWS Config Configuration History
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]3a5b9f4d-13d6-49af-ab49-405c4b82e1e9,Security,AWS Config Snapshots
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]84efe0e6-38e3-4422-b2d5-7f280a0168f6,Security,VPC Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]9cd7ce1e-fc10-4e8c-ba24-ac1d0ee37f73,Security,List of VPCs
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]f6e7fb85-b337-40bc-9e0e-54eaacb87f71,Security,List of VPC Resources
